Wall time,Step,Value
1781110006.6772337,49,0.96875
1781110025.1282809,99,0.875
1781110044.3113024,149,0.75
1781110063.865806,199,0.8125
1781110085.467064,249,0.90625
1781110107.171441,299,0.75
1781110128.5964913,349,0.90625
1781110150.5021477,399,0.8125
1781110171.8281558,449,0.625
1781110193.7639313,499,0.8125
1781110294.0588887,549,0.78125
1781110315.6278253,599,0.8125
1781110337.387572,649,0.90625
1781110356.763375,699,0.8125
1781110377.6937246,749,0.875
1781110398.577421,799,0.875
1781110420.3875272,849,0.84375
1781110442.310716,899,0.84375
1781110464.7620823,949,0.78125
1781110486.706947,999,0.9375
1781110587.7119567,1049,0.78125
1781110609.0871475,1099,0.8125
1781110629.321577,1149,0.84375
1781110650.809315,1199,0.78125
1781110672.7747636,1249,0.84375
1781110693.1702907,1299,0.96875
1781110714.5614855,1349,0.9375
1781110735.4587603,1399,0.84375
1781110756.4719293,1449,0.8125
1781110776.761724,1499,0.90625
1781110876.742924,1549,0.84375
1781110897.4534044,1599,0.875
1781110918.1348958,1649,0.84375
1781110939.8174236,1699,0.875
1781110960.578663,1749,0.875
1781110981.666733,1799,0.84375
1781111003.1308107,1849,0.875
1781111024.8958793,1899,0.78125
1781111046.4936206,1949,0.71875
1781111067.0825527,1999,0.90625
1781111166.5817695,2049,0.875
1781111187.6777508,2099,0.875
1781111209.8183057,2149,0.9375
1781111230.2355332,2199,0.78125
1781111251.8626134,2249,0.8125
1781111273.8103762,2299,0.875
1781111293.6690485,2349,0.9375
1781111314.2202282,2399,0.875
1781111336.0784638,2449,0.8125
1781111357.386237,2499,0.8125
1781111457.41601,2549,0.90625
1781111478.3557,2599,0.9375
1781111500.5827792,2649,0.875
1781111523.3070421,2699,0.84375
1781111544.7736888,2749,0.9375
1781111566.692398,2799,0.875
1781111587.1800182,2849,0.84375
1781111607.4875593,2899,0.9375
1781111628.2172172,2949,0.71875
1781111649.5564735,2999,0.9375
1781111749.7982142,3049,0.90625
1781111770.857824,3099,0.96875
1781111791.3519466,3149,0.9375
1781111812.5137727,3199,0.96875
1781111833.5746799,3249,0.8125
1781111855.1124802,3299,0.875
1781111876.8380024,3349,0.90625
1781111898.388104,3399,0.90625
1781111919.7394702,3449,0.875
1781111940.4192915,3499,0.875
1781112039.8787448,3549,0.9375
1781112060.9241383,3599,0.90625
1781112081.5378306,3649,0.875
1781112102.0833187,3699,0.84375
1781112123.672413,3749,0.96875
1781112145.3359911,3799,0.90625
1781112168.366258,3849,0.90625
1781112190.3668387,3899,0.84375
1781112211.1147196,3949,0.84375
1781112232.3252623,3999,0.71875
1781112331.7183676,4049,0.875
1781112352.0387275,4099,0.875
1781112372.132168,4149,0.6875
1781112394.1974242,4199,0.875
1781112415.0167644,4249,0.9375
1781112436.788241,4299,0.875
1781112459.0623376,4349,0.9375
1781112479.5030477,4399,0.8125
1781112501.9129143,4449,0.8125
1781112523.2389865,4499,0.875
1781112623.1266026,4549,0.78125
1781112644.7443116,4599,0.90625
1781112666.7503324,4649,0.78125
1781112687.1241703,4699,0.75
1781112707.8421893,4749,0.90625
1781112729.3467004,4799,0.875
1781112750.6390586,4849,0.875
1781112774.5944257,4899,1.0
1781112796.0853322,4949,0.90625
1781112817.1607566,4999,0.90625
1781112916.7841501,5049,0.84375
1781112938.8445842,5099,0.84375
1781112961.5122778,5149,0.96875
1781112982.6950066,5199,0.8125
1781113004.1127255,5249,0.90625
1781113024.9362965,5299,0.875
1781113047.4446445,5349,0.8125
1781113068.6143465,5399,0.84375
1781113091.1177707,5449,0.875
1781113111.1059084,5499,0.9375
1781113211.1031322,5549,0.875
1781113233.4354875,5599,0.90625
1781113254.109269,5649,0.9375
1781113276.0228062,5699,0.8125
1781113297.4757764,5749,0.875
1781113319.0635333,5799,0.9375
1781113341.0080383,5849,0.8125
1781113362.1641214,5899,0.875
1781113383.6903608,5949,0.90625
1781113405.69089,5999,0.9375
1781113506.6201663,6049,0.90625
1781113527.7095022,6099,0.875
1781113548.9526386,6149,0.90625
1781113571.7449472,6199,0.75
1781113592.693317,6249,0.90625
1781113613.638558,6299,0.90625
1781113634.9399815,6349,0.75
1781113655.6281724,6399,0.90625
1781113675.2751424,6449,0.90625
1781113695.5775895,6499,0.9375
1781113794.8573027,6549,0.875
1781113815.9851055,6599,0.78125
1781113838.498708,6649,0.78125
1781113859.432636,6699,0.90625
