Wall time,Step,Value
1781110245.0507104,49,0.65625
1781110251.9076157,99,0.53125
1781110255.7943258,149,0.75
1781110259.5281377,199,0.75
1781110262.982694,249,0.65625
1781110266.2464967,299,0.78125
1781110270.0086257,349,0.71875
1781110273.7490158,399,0.84375
1781110277.3321738,449,0.78125
1781110280.6243627,499,0.6875
1781110303.2378776,549,0.75
1781110306.8951948,599,0.71875
1781110310.2578657,649,0.75
1781110314.0320802,699,0.84375
1781110317.801943,749,0.84375
1781110321.2341447,799,0.875
1781110324.6809754,849,0.6875
1781110328.5685954,899,0.75
1781110332.21295,949,0.875
1781110335.7324727,999,0.75
1781110357.170028,1049,0.78125
1781110360.903221,1099,0.78125
1781110364.3491328,1149,0.8125
1781110367.9327497,1199,0.875
1781110371.8601172,1249,0.78125
1781110375.6697822,1299,0.71875
1781110379.1312172,1349,0.75
1781110382.8402853,1399,0.8125
1781110386.740553,1449,0.71875
1781110390.326108,1499,0.96875
1781110411.524611,1549,0.78125
1781110415.5165865,1599,0.84375
1781110419.3574317,1649,0.90625
1781110422.9547303,1699,0.75
1781110426.6988616,1749,0.78125
1781110430.9309525,1799,0.84375
1781110434.4479134,1849,0.84375
1781110438.114818,1899,0.78125
1781110441.7734342,1949,0.84375
1781110445.7460508,1999,0.8125
1781110466.713821,2049,0.9375
1781110470.6148427,2099,0.90625
1781110474.5083814,2149,0.78125
1781110478.0490541,2199,0.90625
1781110481.5759182,2249,0.75
1781110485.3744688,2299,0.90625
1781110489.3055997,2349,0.84375
1781110493.1788461,2399,0.84375
1781110496.8227417,2449,0.78125
1781110500.569783,2499,0.8125
1781110522.1814485,2549,0.84375
1781110525.9111495,2599,0.84375
1781110530.0977423,2649,0.84375
1781110533.9982321,2699,0.71875
1781110537.4945254,2749,0.9375
1781110541.2955415,2799,0.8125
1781110545.62668,2849,0.71875
1781110549.2284598,2899,0.84375
1781110552.8539994,2949,0.75
1781110556.6845186,2999,0.8125
1781110578.9157097,3049,0.84375
1781110582.465549,3099,0.8125
1781110586.233351,3149,0.875
1781110590.5650442,3199,0.90625
1781110594.2189987,3249,0.96875
1781110597.8123353,3299,0.8125
1781110601.5701919,3349,0.90625
1781110605.666009,3399,0.875
1781110609.3241735,3449,0.875
1781110613.0857692,3499,0.8125
1781110635.3730536,3549,0.8125
1781110639.1945357,3599,0.90625
1781110642.9382105,3649,0.78125
1781110646.9262888,3699,0.9375
1781110650.6731424,3749,0.84375
1781110654.3385363,3799,0.84375
1781110658.199155,3849,0.78125
1781110662.5333648,3899,0.875
1781110666.2983432,3949,0.8125
1781110670.144289,3999,0.84375
1781110692.5837998,4049,0.875
1781110696.2896569,4099,0.875
1781110700.1497402,4149,0.78125
1781110704.009556,4199,0.8125
1781110707.9474547,4249,0.8125
1781110711.6241777,4299,0.90625
1781110715.275998,4349,0.84375
1781110719.3496454,4399,0.875
1781110723.2508893,4449,0.875
1781110727.111595,4499,0.90625
1781110749.750929,4549,0.8125
1781110753.6226494,4599,0.84375
1781110757.207973,4649,0.875
1781110761.016286,4699,0.875
1781110764.965283,4749,0.96875
1781110768.7954342,4799,0.78125
1781110772.451032,4849,0.8125
1781110776.3146725,4899,0.9375
1781110780.1296976,4949,0.90625
1781110783.9240203,4999,0.84375
1781110806.1078749,5049,0.84375
1781110810.0491307,5099,0.8125
1781110813.7802253,5149,0.96875
1781110817.3883197,5199,0.84375
1781110821.416598,5249,0.90625
1781110825.0436804,5299,0.8125
1781110828.6630864,5349,0.84375
1781110832.42116,5399,0.8125
1781110836.5905316,5449,0.875
1781110840.1880155,5499,0.84375
1781110862.4545472,5549,1.0
1781110866.5634937,5599,0.875
1781110870.1447475,5649,0.875
1781110873.9608128,5699,0.8125
1781110878.1198246,5749,0.90625
1781110882.1977453,5799,0.78125
1781110885.859231,5849,0.96875
1781110889.7392492,5899,0.875
1781110893.725237,5949,0.8125
1781110897.5269153,5999,0.9375
1781110919.3413765,6049,0.90625
1781110923.6142771,6099,0.90625
1781110927.3587096,6149,0.84375
1781110930.9996834,6199,0.875
1781110934.8296082,6249,0.84375
1781110938.9620798,6299,0.90625
1781110942.597527,6349,0.78125
1781110946.2884822,6399,0.875
1781110950.1445487,6449,0.8125
1781110954.279071,6499,0.90625
1781110975.882119,6549,0.90625
1781110979.7511287,6599,0.9375
1781110983.869531,6649,0.75
1781110987.7576413,6699,0.84375
1781110991.437877,6749,0.96875
1781110995.507117,6799,0.78125
1781110999.2666612,6849,0.90625
1781111002.840054,6899,0.96875
1781111006.5473578,6949,0.90625
1781111010.6688154,6999,0.875
1781111033.1776018,7049,0.84375
1781111037.1605108,7099,0.875
1781111041.1504374,7149,0.96875
1781111044.6432307,7199,0.9375
1781111048.3133888,7249,0.875
1781111052.2298515,7299,0.90625
1781111056.3061461,7349,0.875
1781111060.1189735,7399,0.84375
1781111063.8374112,7449,0.84375
1781111067.874127,7499,0.9375
1781111089.5950077,7549,0.90625
